Title,Overview,Release Date,Vote Average,Vote Count,Runtime,Budget,Revenue,Popularity,Production Countries,Production Companies,Genres
Among Friends,"A twisted horror about a dinner party gone wrong. Set against an 80s backdrop, the good time takes a dark turn when one in the group hijacks the evening in an attempt to help the others come clean about their secret betrayals against one another–and is willing to cut through the bone in order to expose the truth.",2012-07-08,4.333,51,80,0,0,3.655,['United States of America'],"['Hollywood Treasures', 'Three Little Birds Productions']","['Comedy', 'Horror']"
Errors of the Human Body,"Canadian scientist, Dr Geoff Burton takes up a position at a new institute in wintry Dresden in order to contribute to their most important project—a human regeneration gene—that also has the potential to make something miraculous out of a personal tragedy that has haunted him for years.",2012-09-23,5.284,51,102,1500000,0,7.139,"['Germany', 'United States of America']","['High Five Films', 'Instinctive Film', 'XYZ Films']","['Science Fiction', 'Thriller', 'Drama']"
Girls Gone Dead,A group of six ex-high school cheerleaders are stalked by a killer with a medieval war hammer and battle axe during their first Spring Break from college.,2012-03-28,4.52,51,104,500000,0,7.818,['United States of America'],['Spy Global Media'],"['Horror', 'Comedy']"
Blue Like Jazz,A young man must find his own way as his Southern Baptist roots don't seem to be acceptable at his new liberal arts college.,2012-04-13,5.686,51,106,1250000,0,2.977,['United States of America'],['Ruckus Films'],"['Drama', 'Comedy']"
Red Clover,"An evil leprechaun who has been imprisoned within the roots of a majestic old oak tree, is accidentally set loose on St. Patrick's Day. Once free, he takes out his bloody revenge on the descendants of the people who originally imprisoned him.",2012-03-17,5.33,50,88,0,0,5.275,['United States of America'],"['Syfy', 'After Dark Films']","['Horror', 'Fantasy']"
The 12 Disasters of Christmas,"Just in time for the joyous holiday season, this film connects the ancient Mayan prophecy of worldwide destruction at the end of 2012, and the iconic holiday song, The 12 Days of Christmas. But there is hope: a father learns that his daughter is really the ""Chosen One"" who, alone, can stop further catastrophe - if he can stave off the lunatic townspeople blaming her for the community's destruction.",2012-12-02,4.1,49,86,0,0,11.209,"['Canada', 'United States of America']","['Golden Ring Productions', 'CineTel Films']","['TV Movie', 'Action', 'Science Fiction']"
The Reef 2: High Tide,"Trained in the skills of sea power, Pi the fish can fight a shark, sink a squid or batter any random predator that ever threatens his friends and neighbors on the reef. Unfortunately, being the only hero in town can take its toll, especially when a group of sharks declares that the end of the reef is soon at hand.",2012-10-19,4.52,49,80,0,0,8.189,"['United States of America', 'South Korea']","['Animation Picture Company', 'Wonderworld Studios']","['Animation', 'Family']"
Mr. Pip,"As a war rages on in the province of Bougainville in Papua New Guinea, a young girl becomes transfixed by the Charles Dickens novel Great Expectations, which is being read at school by the only white man in the village.  In 1991, a war over a copper mine in the South Pacific tore the island of Bougainville apart. The reclusive “Popeye” (Hugh Laurie) offers the children in fourteen-year-old Matilda’s tiny village an escape with Charles Dickens' Great Expectations. But on an island at war, fiction can have dangerous consequences.",2012-09-08,6.235,49,116,0,0,5.217,"['Australia', 'New Zealand', 'United States of America']","['Olympus Pictures', 'Eyeworks Film', 'Daydream Productions', 'Focus Features']",['Drama']
The History of Future Folk,"An alien intending to claim Earth for his people before their homeworld is destroyed by a comet decides not to eliminate humanity when he hears their music. Instead, he lives among them until another alien is sent to find and kill him.",2012-06-15,6.602,49,86,0,0,3.778,['United States of America'],[],"['Comedy', 'Science Fiction', 'Music']"
Beware of Mr. Baker,"Ginger Baker is known for playing in Cream and Blind Faith, but the world's greatest drummer didn’t hit his stride until 1972, when he arrived in Nigeria and discovered Fela Kuti's Afrobeat. After leaving Nigeria, Ginger returned to his pattern of drug-induced self-destruction, and countless groundbreaking musical works, eventually settling in South Africa, where the 73-year-old lives with his young bride and 39 polo ponies. This documentary includes interviews with Eric Clapton, Steve Winwood, Carlos Santana and more. Beware of Mr. Baker! With every smash of the drum is a man smashing his way through life.",2012-11-28,7.551,49,100,0,0,2.822,['United States of America'],"['Insurgent Docs', 'Pugilist at Rest Productions']","['Documentary', 'Music']"
Wyatt Earp's Revenge,"Wyatt Earp is approached by a journalist for an interview about how he became a famous sheriff. Earp told the story of how he was a fearless U.S. Marshall. If 27-year old Wyatt Earp comes out that his first girlfriend Dora Hand was murdered. Together with his friend Doc Holliday, Bat Masterson, Bill Tilghman and Charlie Bassett he goes hunting for the perpetrator ...",2012-03-06,4.4,49,92,0,0,13.805,['United States of America'],"['Feifer Worldwide', 'Hybrid']",['Western']
Marfa Girl,"A disaffected Texas teen spends his 16th birthday getting high, hanging out and having casual sex.",2012-11-20,4.708,48,105,2000000,0,4.402,['United States of America'],['Marfa'],"['Drama', 'Romance']"
A Christmas Story 2,"The original traditional one-hundred-percent red-blooded two-fisted all-American Christmas continues five years later with Ralphie, Randy, mom and the old man. This time Ralphie has his eyes fixed on a car. But trouble is sure to follow.",2012-09-06,5.3,48,86,0,0,6.302,"['Canada', 'United States of America']","['Digital Diva Films Canada', 'Warner Premiere', 'Hollywood Media Bridge', 'Telvan Productions']",['Comedy']
Hijacked,A special agent's plans to reconcile with his ex-fiancé are ruined when she boards a private jet that is targeted by hijackers working for the same crime lord that he is chasing.,2012-07-31,4.042,48,91,0,0,6.62,['United States of America'],"['Swift Street Productions', 'NuttHouse Moving Pictures Company']","['Action', 'Thriller']"
The Woman Who Wasn't There,Tania Head was the ultimate 9/11 survivor. She had the grimmest story. None of it was true.,2012-04-13,6.75,48,65,0,0,4.306,['United States of America'],['Meredith Vieira Productions'],['Documentary']
Attack of the 50 Foot Cheerleader,"Aspiring college cheerleader, Cassie Stratford consumes an experimental drug that grants her beauty and enough athletic ability to make the cheer squad. The drug has an unforeseen side effect — Cassie starts to grow and grow and grow!",2012-08-25,5.8,47,83,1000000,0,6.434,['United States of America'],"['New Horizons Picture', 'Epix']","['Comedy', 'Science Fiction']"
2016: Obama's America,"2016: Obama's America takes audiences on a gripping visual journey into the heart of the worlds most powerful office to reveal the struggle of whether one man's past will redefine America over the next four years. The film examines the question, ""If Obama wins a second term, where will we be in 2016?""  Across the globe and in America, people in 2008 hungered for a leader who would unite and lift us from economic turmoil and war. True to Americas ideals, they invested their hope in a new kind of president, Barack Obama. What they didn't know is that Obama is a man with a past, and in powerful ways that past defines him--who he is, how he thinks, and where he intends to take America and the world. Immersed in exotic locales across four continents, best selling author Dinesh DSouza races against time to find answers to Obama's past and reveal where America will be in 2016.",2012-07-13,4.277,47,87,2500000,33400000,3.165,['United States of America'],[],['Documentary']
Alien Tornado,"Aliens attack Earth with deadly electrical tornadoes, and it’s up to a farmer, his smart high-school daughter and a tornado blogger to thwart the horrific invasion.",2012-04-21,4.021,47,85,0,0,5.866,['United States of America'],[],"['Science Fiction', 'Action', 'Thriller']"
Dragon Age: Dawn of the Seeker,"In the land of Orlais, a brash young Seeker—Cassandra—fights to stop a blood-soaked conspiracy. Hidden hands seek to tear apart the realm's most powerful religious order, and as the sinister plot unfolds, Cassandra is accused of treason and murder. Hunted by friend and foe alike, the impulsive beauty must clear her name while clashing with corrupt templars and rogue blood mages. Should she fail, the executioner’s blade awaits. Should she overcome her rage and expose the unseen forces threatening the rule of the Divine, Cassandra will take her place in legend.",2012-02-11,5.649,47,90,0,0,8.351,"['Japan', 'United States of America']","['Funimation Global Group', 'BioWare', 'Electronic Arts', 'Oxybot', 'Toneplus Animation Studios', 'T.O. Entertainment']","['Fantasy', 'Animation']"
The Seven Year Hitch,"Jennifer and Kevin are childhood best friends who have lived together, platonically, as adults for many years. When Jennifer decides to marry her cheating, manipulative boyfriend, Bryce Kevin has to stop the wedding to protect her from making, what he believes is, a terrible mistake. With a little help from his brother and neighbor Kevin discovers that he and Jennifer are already legally married due to common law, having lived together for seven years and, as such, Jennifer can not marry Bryce.",2012-10-13,5.9,46,86,0,0,4.51,['United States of America'],"['Larry Levinson Productions', 'Mediapool Production']","['Romance', 'Comedy', 'TV Movie']"
The Mistle-Tones,"Holly, blessed with an amazing singing voice, is all set to audition for the newly vacated spot in a legendary local Christmas group which was founded by her late mother years ago. Shocked and upset when the slot goes to the barely talented best friend of the group's leader, Marci, Holly sets out to create her own musical group, The Mistle-Tones. After challenging their rivals to a sing-off on Christmas Eve, Holly finds herself on a journey to the real meaning of Christmas with some new friends and a new love thrown in for good measure.",2012-12-09,6.3,46,90,0,0,4.228,['United States of America'],[],"['TV Movie', 'Comedy', 'Romance']"
The Swan Princess Christmas,"Princess Odette, Prince Derek and their trusted woodland friends reunite in this all-new adventure for their first Christmas celebration together! As the kingdom prepares for a festive holiday, the villainous Rothbart plots to destroy Christmas. Will the castle friends be able to stop Rothbart and save the day?  Told in beautiful CG animation for the very first time and featuring music by Anna Graceman from TV’s America’s Got Talent, The Swan Princess Christmas is an enchanting musical holiday treat the whole family will enjoy!",2012-11-05,5.9,46,83,40000000,0,9.486,"['India', 'United States of America']","['Crest Animation Production', 'NEST Family Entertainment', 'Sony Pictures']","['Family', 'Animation', 'Fantasy']"
You Can't Kill Stephen King,"Siblings Monroe (Monroe Mann) and Hilary (Crystal Arnette) have discovered that they have inherited a lake house and to make things even better, the famous horror author Stephen King is rumoured to live somewhere nearby. They decide to take their friends down to the lake house to check things out, only to find immediate resistance from all of the locals, who insist that King doesn't live in the area. Despite being completely unwelcome, they decide to stay and soon find that people are being killed one by one in a manner similar to several deaths in various Stephen King stories.",2012-04-14,4.543,46,83,0,0,4.296,['United States of America'],"['Loco Dawn Films', 'Clownfish Productions', 'Maine Studios']","['Horror', 'Comedy']"
The Haunting of Whaley House,"When a tour guide breaks into America's Most Haunted House, a bit of amateur ghost hunting with friends turns into more horror than they could have ever imagined.",2012-07-31,4.5,46,90,115000,0,6.125,['United States of America'],['The Asylum'],['Horror']
Dead Season,"It has been over one year since the start of the outbreak. Our society has collapsed and the world has descended into chaos. Elvis and Tweeter are two of the last people left alive, and band together to flee the United States for a remote island somewhere in the Caribbean. On the island, they find a new community struggling to hold out against an army of corpses. They can join this band of survivors-- but only if they can do what must be done for the good of the group.",2012-09-16,4.6,46,88,0,0,4.427,['United States of America'],['Image Entertainment'],"['Horror', 'Action']"
Amy Schumer: Mostly Sex Stuff,"A ratings hit! Amy Schumer debuts her one-hour special in front of a live audience at the Historic Fillmore Theatre in San Francisco. Nothing is off limits as Schumer airs every hilarious, messed up detail of her dating and sex life, from encounters with unexpected body parts to hate-filled personal grooming appointments. In her matter-of-fact raunchy style, at odds with her self-described ""Cabbage Patch Kid"" appearance, Schumer tells stories of a boyfriend who makes dirty requests over dinner, the way she outsmarts her birth control, and a shocking ending to a seemingly innocent cab ride.",2012-08-18,6.244,45,60,0,0,3.381,['United States of America'],['Comedy Central'],['Comedy']
The Falls,"The Falls is a feature film about two missionaries that fall in love while on their mission. RJ travels to a small town in Oregon with Elder Merrill to serve their mission and teach the words of Joseph Smith. Living together and sharing the challenge of leaving home, the two men help each other discover their strengths. They share a passion for their faith and learn to express their feelings, risking the only community they have for a forbidden intimacy.",2012-01-12,6.256,45,115,0,0,4.191,['United States of America'],['Lake Productions'],"['Romance', 'Drama']"
Last Kind Words,"17-year old Eli moves with his family to the isolated farm of reclusive Waylon, a man whose dark past threatens to overtake him. Eli’s family works to restore the desolate fields, while he becomes fascinated with the forests. While on the farm, Eli meets the mysterious Amanda when she gives him an apple. The next day she extracts a promise from him to avoid the deep woods. Reeling from a violent encounter with his father, one night he breaks this promise and finds her body hanging from a tree.",2012-06-08,4.756,45,85,0,0,5.042,['United States of America'],[],"['Romance', 'Drama', 'Mystery', 'Thriller', 'Horror']"
Hypothermia,"Two families' idyllic ice-fishing vacation turns deadly when they awaken a creature beneath the frozen lake, forcing them to rely on each other if they want to make it safely back to land.",2012-10-02,3.956,45,73,0,0,3.377,['United States of America'],"['Dark Sky Films', 'Glass Eye Pix']",['Horror']
Bigfoot,"A rock concert awakens the legendary monster, who goes on a rampage. The event's organizer plans to kill the beast and create a tourist attraction around its stuffed body, but an environmentalist realizes the creature is the last of its species, and is determined to make sure it does not become extinct.",2012-10-28,3.033,45,89,0,0,5.795,['United States of America'],['The Asylum'],"['Horror', 'Science Fiction', 'Adventure', 'TV Movie']"
Rites of Passage,Anthropology students and their professor experience terror when they visit a sacred burial ground.,2012-04-24,5.089,45,95,2500000,0,6.968,['United States of America'],"['Atmosphere Entertainment MM', 'Demarest Films', 'Morningstar Films', 'Party Killer Films', 'Voltage Pictures']",['Thriller']
Holly's Holiday,"A professional in the advertising business, Holly dreams of finding Mr. Right, & getting the ""perfect"" romance. When she meets someone who ~looks the part, she falls hard & fast. But soon she is reminded that appearances can be deceiving, & true love grows in more unexpected places.",2012-12-08,5.5,44,90,0,0,4.322,['United States of America'],['Synthetic Filmwerx'],"['Comedy', 'Romance', 'Fantasy', 'TV Movie']"
I Will Follow You Into the Dark,A woman reeling from the death of her parents becomes attached to an alluring man whose sudden disappearance sends her and her friends into a haunted high-rise to find him.,2012-12-20,4.443,44,107,5000000,0,3.728,['United States of America'],"['Zero Gravity Management', 'Castlight Pictures']","['Drama', 'Horror', 'Romance', 'Thriller']"
Christmas Twister,"During the holiday season, Ethan, a meteorologist, and his wife Addison, a TV news reporter, must put aside their differences and band together to help save others and rescue their missing children from a massive F6 twister that has unexpectedly descended upon their small Texas town.",2012-12-15,5.2,44,88,0,0,4.227,['United States of America'],"['Production Media Group', 'Media Pro Pictures']","['Science Fiction', 'Drama', 'Action', 'TV Movie']"
12/12/12,"When baby Sebastian is born on 12/12/12 everyone around him starts to die. Soon, his mother realizes that her son is the spawn of Hell.",2012-12-04,3.443,44,85,0,0,4.152,['United States of America'],['The Asylum'],['Horror']
Return of the Killer Shrews,"A reality TV crew charter a boat to an island for filming, one which the boat's captain had been to before and attacked by giant shrews, more than fifty years earlier.",2012-11-15,5.523,44,84,0,0,3.451,['United States of America'],['Coal Train Productions'],['Horror']
CLONED: The Recreator Chronicles,"When a group of teenagers stumble upon a secret lab, they become part of a deadly experiment - The Recreator - evil human clones. Craig, Tracy and Derek come face to face with exact copies of themselves that have only one purpose; to find and kill their originals. With time running out it's up to the original group to destroy the lab and save themselves before they are replaced. Gregory Orr's exciting thriller brings science fiction to life with a sexy edge.",2012-02-16,4.83,44,91,0,0,5.584,['United States of America'],[],['Horror']
Breathless,"Lorna is a strong-willed Texas woman who’s had enough of her untrustworthy husband, Dale’s, criminal acts and lack of husbandry. Fed up, she enlists the help of her old friend, Tiny, to help her figure out what to do with Dale after his latest double-cross involving the theft of $100,000 from a bank.",2012-01-04,5.75,44,91,5000000,0,7.439,['United States of America'],[],"['Comedy', 'Thriller', 'Mystery', 'Crime']"
A Golden Christmas 3,"Heather is a charming free spirit whose self-absorbed fiancé Roger never seems to hear a word that comes out of her mouth. Bobby is a naval officer who comes home from serving overseas, looking to start a new chapter in his life. Both Heather and Bobby long to meet someone who makes them feel like they are at home in this world, but they are starting to doubt that person exists. Thanks to two Golden Retrievers, Bobby's spirited eleven-year-old niece Myra, and a fun-filled theatre production of 'A Christmas Carol,' these two unlucky and unlikely people end up falling in love at Christmas. But can they overcome the issues of their past and present in order to build a future together?",2012-12-22,5.6,43,90,0,0,5.361,['United States of America'],[],"['Family', 'Comedy', 'Romance']"
Jewtopia,"Smitten with a Jewish woman, a gentile asks his Jewish pal to advise him on how to act like a member of the community.",2012-04-26,4.779,43,90,0,0,6.578,['United States of America'],"['Oops Doughnuts Productions', 'Tooley Productions']","['Comedy', 'Romance']"
William & Catherine: A Royal Romance,"The film is based on the story of William of Cambridge and Catherine Middleton. Shown in the same life of William of Cambridge, and Catherine Middleton met at the University of Saint Andrews, besides the romance that they maintained, the break of it and commitment.",2012-04-30,5.419,43,90,0,0,6.651,['United States of America'],"['Keckins Projects', 'Motion Picture Corporation of America', 'Brad Krevoy Television']","['Romance', 'Drama', 'TV Movie']"
Minecraft: The Story of Mojang,"Minecraft: The Story of Mojang is a feature-length documentary that follows the young company over the course of its first year as their profile expanded across the world stage and into the homes of millions of gamers. Featuring insights from industry icons (Peter Molyneux, Tim Schafer), journalists (Geoff Keighley, Stephen Totilo), tastemakers (Gabe & Tycho of Penny Arcade), and players profoundly impacted by the game (Yogscast, The Shaft, Minecraft Teacher), the film serves as a time capsule for one of this generation's most unorthodox success stories. Minecraft: The Story of Mojang is the second feature from game culture archivists 2 Player Productions (Reformat the Planet, Penny Arcade: The Series - Season 1, Double Fine Adventure!). Funded through crowdsourcing site Kickstarter.com, the production spanned nearly two years in locations across North America and Europe.",2012-12-23,6.977,43,104,210297,0,5.244,"['Sweden', 'United States of America']",['2 Player Productions'],['Documentary']
The Outback,"Being teased for his color, Johnny the white koala joins a traveling carnival with Hamish, a Tasmanian devil, and Higgens, a photographer monkey as talent agents. On the way through the Australian outback desert, the trailer they are in comes loose and crashes. Johnny must live up to the hero status Hamish presents him as while the outback locals try to rescue a kidnapped koala from Bog, a giant crocodile and his dingo lackeys.",2012-01-12,5.7,43,85,5300000,0,7.775,"['South Korea', 'United States of America']","['Atlas Film', 'Digiart Productions', 'Lotte Entertainment', 'Animation Picture Company']","['Animation', 'Adventure', 'Family']"
Hotel Noir,"Los Angeles, 1958: a detective holes up in a downtown hotel awaiting killers to come get him. During the course of one night he will meet various occupants of the hotel and the truth of how he came to be in his present situation will be revealed.",2012-10-09,5.8,43,97,0,0,5.874,['United States of America'],"['Gato Negro Films', 'Shangri-La Entertainment']","['Crime', 'Drama']"
Liz & Dick,"On the set of Cleopatra, Hollywood's most beautiful star, Elizabeth Taylor, fell into the arms of one of the world's greatest actors, Richard Burton - and she didn't leave. Their subsequent white-hot, scandalous love affair gave rise to the paparazzi and they became the most hunted and photographed couple on earth. Their rocky, passionate, relationship, born in front of the cameras, was subsequently captured in a series of films, including The V.I.P.s and Who's Afraid of Virginia Woolf? The last of the great, extravagant stars, flaunting diamonds, yachts and private planes, they continually seized the headlines. They even divorced and married again - only to divorce again - but remain in each other's hearts. This Elizabeth Taylor - Richard Burton story is a no-holds barred account of their undying, but impossible love.",2012-11-25,3.593,43,88,0,0,6.187,['United States of America'],"['Silver Screen Pictures', 'Lasky Productions', 'Larry A. Thompson Productions', 'Lifetime']","['Drama', 'TV Movie', 'Romance']"
Bikini Spring Break,A group of coeds from a small conservative college break out of their shells when their marching band bus breaks down in Fort Lauderdale during Spring Break.,2012-06-26,3.7,43,87,500000,500000,4.334,['United States of America'],['The Asylum'],['Comedy']
Seattle Superstorm,"An object is shot down over Seattle and the debris begins to affect the local weather, ultimately threatening the whole world.",2012-03-31,4.709,43,86,0,0,4.927,"['Canada', 'United States of America']",['Two 4 The Money Media'],"['Action', 'Science Fiction', 'TV Movie']"
Clash of the Empires,"In an age long ago, the last village of clever, peace-loving Hobbits is attacked and enslaved by the Java Men, komodo-worshiping, dragon-riding cannibals. Now the young Hobbit Goben, along with his father and sister, must seek help from the ""giants"" (human hunters) to find the Javas' lair and rescue the last surviving Hobbits, Goben's mother among them. In their quest to destroy the Javas, the heroic partnership of humans and Hobbits will transform both species forever.",2012-11-13,3.036,42,87,0,0,6.08,['United States of America'],['The Asylum'],"['Fantasy', 'Adventure', 'Action']"
Museum Hours,A security guard working at an art museum in Vienna crosses paths with a Canadian woman in town to visit her ailing cousin.,2012-08-08,6.9,42,107,0,0,2.823,"['Austria', 'United States of America']","['KGP Kranzelbinder Gabriele Production', 'Little Magnet Films', 'Gravity Hill Films']",['Drama']
Jersey Shore Shark Attack,"Many years ago, hundreds of locals and tourists were massacred by giant man-eating sharks in the infamous 1916 Jersey Shore attacks. But that's just a legend... or is it? It's a holiday weekend on the Jersey Shore and, unbeknownst to anyone, underwater drills have attracted dozens of albino bull sharks to the pier. When a man goes missing, TC (The Complication), Nookie and friends fear the worst and plead with the police chief to close down the beach. It isn't until a famous singer is eaten alive during a performance on the pier that the shark hunt begins. Now, the Preppies must work together with the Guidos in order to save the Jersey Shore and its inhabitants from another vicious slaughter.",2012-06-09,4.845,42,86,0,0,5.98,['United States of America'],['Syfy'],"['TV Movie', 'Action', 'Science Fiction', 'Comedy', 'Drama', 'Horror']"
Donner Pass,Donner Pass has a well-known and macabre history - the place where George Donner and his party got stuck in the winter of 1846 and were forced to resort to cannibalism to keep from starving. But what if it wasn't just history?,2012-11-15,4.202,42,90,300000,0,4.16,['United States of America'],[],['Horror']
Bigfoot: The Lost Coast Tapes,"Sean Reynolds, a highly acclaimed investigative journalist (who strongly believed in paranormal phenomena), destroyed his career when the most watched episode of his reality show, based on paranormal phenomena, turned out to be a hoax. Sean saw a news report on a ""Bigfoot Hunter"" (Carl Drybeck) who claimed to possess the body of a dead Sasquatch. He believes Drybeck is a phony and decides to create a new show that reveals people's paranormal claims as hoaxes. Sean assembles his old film crew and heads to Northern California's ""Lost Coast"" to meet with and interview Drybeck. Obsessed, Sean is staking his comeback, his life and the lives of his documentary film crew on proving Drybeck's claim to be a hoax.",2012-10-18,3.939,41,89,0,0,3.084,['United States of America'],"['New Breed Entertainment', 'Freeway Studios', 'Continental Media', 'Harrington Thomas Productions']","['Horror', 'Mystery', 'Thriller']"
The Philly Kid,"A former NCAA champion wrestler is paroled after 10 years in prison. Now, to save a friend's life, in a series of cage fights he must agree to do the impossible - lose.",2012-05-11,5.427,41,94,5000000,0,6.728,['United States of America'],"['Signature Pictures', 'After Dark Films', 'Autonomous Films', 'Fourth Floor Productions']","['Drama', 'Action']"
